case_id,stateofcase,court_rules,ruling,judge,dept_num,litigating_attny,max(emp_ssn),client_ssn,
101011,resolved,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Egor Lorans,0600-122,569-06-3939,404-04-8585,339-52-4564,The plaintiff in this case is a person who was employed by the defendant. After years of experience the defendant lost their job and was out of work for over a year. The plaintiff tried to keep up with their car payments but they were able to get their employer to policy that they would have to use two different companies' bathrooms
101681,resolved,https://www.courts.wa.gov/court_rules/,not guilty,Brinn Marriot,2911-114,149-29-8407,656-51-2165,318-55-9543,The plaintiff in the case is a group of citizens who complain about the process and results of the criminal justice system. The defendants are the City of Seattle and its police department
103872,in_progress,https://www.courts.wa.gov/court_rules/,not guilty,Alonzo Tungay,0813-110,287-83-1678,454-74-9267,375-77-2491,The plaintiff in this case is a business owner who was alleges that her business was negatively impacted by the loss of a key employee. The employee had been working at the business for over 10 years and had built it up into a major player in the local community. However after the employee left the business it slid back into second place and is now only available to people for whom they have a need. The plaintiff has been trying to get the company to release the names of the employees who left and to have them auctioned off but so far has not been successful.
103912,resolved,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Dyane Swann,7692-120,230-68-6805,613-18-8257,513-26-1918,The case is about a man who was arrested for carrying a carry permit for a gun he didn't have. The man is free to go but the city is preventing him from taking his gun home with him
104194,in_court,https://www.courts.wa.gov/court_rules/,guilty,Domenic Griniov,3571-102,810-34-3730,465-88-0821,495-35-5366,The case is about a group of people who want to stop a development in the city. They are trying to get a hearing on a complaint against the developer
104778,in_court,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Jedediah Duferie,6374-102,172-21-9750,172-21-9750,729-80-6883,In this case the plaintiff is a software company that is causing machines to crash. The defendants are the software company and the machines that are being used to create and deliver the machines. The machines are becoming more and more common in the city and the plaintiff has been trying to get someone who runs the machines to come out and show them around. The defendants have been buying back the machines that are being used to create and deliver the programs.
105235,resolved,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Didi Borne,8140-120,256-66-2228,333-04-0667,823-76-5326,In this case the plaintiff is a city employee who allege's he was treated poorly and unfairly. The defendant is the city's mayor
106411,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Roobbie Gillice,3360-112,516-97-3562,437-03-4413,772-18-0886,The plaintiff in this case is a woman who was raped by a man she knew. She took legal action to try to get the rape committed as a crime but the court ruled that the rapist could not be charged with a crime and should only be punishment for his actions. She is seeking $100 million in damages.
106833,in_court,https://www.courts.wa.gov/court_rules/,guilty,Mikey Gadie,2939-108,116-05-2373,843-70-5633,411-15-7096,The plaintiffs in this case are a group of restaurants who argue that theirright to sell food is violating the US Constitution. The civil case is between the restaurants and the US government. The defendants in the case are the US government and the restaurants
110603,in_progress,https://www.courts.wa.gov/court_rules/,not guilty,Fara Cleverley,3704-104,166-24-5698,832-36-1730,778-94-0719,The case is about a man who was accused of sexual assault but later elected to the state House of Representatives
111341,resolved,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Dan Adamkiewicz,8140-100,102-51-9499,216-97-1067,725-06-6166,In this civil case the plaintiff challenges the legality of a business’s policy that allows customers to bring their own food. The business argues that the policy is legal because it is part of a government-wide diet plan that is designed to reduce weight and improve overall health. The defendants argue that the policy is not legal and that the city should be allowed to make the decision on whether or not to accept bringing food with them on vacation
111442,in_court,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Ellen Goldsbrough,1568-108,485-24-0489,832-27-4443,860-72-7808,The plaintiff in this case is a patient at a hospital. She was given an antibiotic by the hospital to treat a cold she had. After taking the antibiotic she became sick and died. The hospital should be responsible for his death
112516,in_court,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Corrianne Di Boldi,6401-124,825-86-9026,714-30-6382,887-10-3540,The case is about a brother and sister who are involved in a physical fight. The brother is on top of his sister and is pushing her down to the ground. The sister tries to pull away from him but he keeps pushing her down. The brother then tells his sister that he will have her money phone and clothes
113455,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Meara Koppes,6401-100,435-94-4433,460-04-2790,845-36-1518,The plaintiff in this civil case is a business owner who was fired from her job. She allege that she was treated poorly and unfairly. The defendant in this civil case is the company that fired her.
114444,in_court,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Arabele Diggin,0813-106,132-66-1834,545-84-7542,268-90-1937,The plaintiff in the case is a city councillor who says she was discriminated against because she is gay. The defendant is the city of Seattle
116656,resolved,https://www.courts.wa.gov/court_rules/,not guilty,Fannie Whopples,6708-106,428-19-9096,882-25-8581,879-63-3176,The plaintiff in this case is a business owner who wasagaionned that her policies were not being delivered to her home. She went to her local branch of the bank and inquire about this. She was told that her policy numbers were not being sent to her address nor did they have the specific policies she was looking for. She contacted the bank's online banking system and found that her account had been created but no policies had been delivered to her home yet. She changed her phone number and started again from scratch. Nothing happened. She began to feel frustrated. The business owner had just lost his job and he said he would
117103,resolved,https://www.courts.wa.gov/court_rules/,not guilty,Giselle Cromwell,4773-118,252-85-2441,719-51-6338,671-39-1937,The plaintiff in the case is an individual who is appealable. The case is called “Petition for Writ of Habeas Corpus”. The defendant is an unknown organization
117837,resolved,https://www.courts.wa.gov/court_rules/,not guilty,Alejandro Michieli,2423-108,543-58-4638,254-92-4227,719-21-5226,A group of homeowners in Seattle are challenging the city’s decision to put up a new traffic stop limit sign. They argue that the sign is gory and offensive and that it should be removed
118859,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Antonino McVie,2021-102,180-17-1107,789-20-8993,374-94-2573,The plaintiff in this case is a business owner who claims that she was deservelessed for her success in her business. The defendant in this case is the company that threw her job for a profit.
121048,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Bron Baughan,1100-104,827-01-0136,710-23-9657,186-44-5533,The plaintiff is a minor and the defendant is the child of one of the mayors of the city. The defendants are the mayor and his wife
121766,in_progress,https://www.courts.wa.gov/court_rules/,guilty,Homerus Bilofsky,6708-106,406-43-9194,444-47-9809,805-61-5864,The plaintiff in this case is an individual who was injured while working as a BART train conductor. The defendant is an individual who was employed by BART to conduct the same work. The defendants are both individuals who were then employed by BART to conduct the same work
124284,in_progress,https://www.courts.wa.gov/court_rules/,not guilty,Jeffy Decort,2423-122,258-70-5396,111-12-2834,608-94-7315,The case is about a man who was accused of a crime but was eventually able to prove that he did not commit the crime
126382,in_progress,https://www.courts.wa.gov/court_rules/,not guilty,Lambert Biaggetti,2939-102,864-80-7444,850-17-1916,630-64-7989,The plaintiff in this case is a city employee. He has been working for the city of Seattle for 10 years. Over the past year he began to experience problems with his job that were not before the city or himself. The problems included: making mistakes in work papers being given incorrect information by management and being asked to change jobs multiple times
126432,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Ardine Wolfers,8140-110,788-77-5777,788-77-5777,392-30-0741,The plaintiff in this case is a group of individuals who complainants. They are based in Seattle Washington. The group has been protesting against the city of Seattle for months ever since the birth of Seattle's first black person
126460,resolved,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Audie Reveland,7692-106,351-54-0549,636-88-4987,567-85-7038,In this civil case the plaintiff is a city employee who allege’s he was given a raise without being given a job. The defendant is the mayor of the city of Seattle
127857,resolved,https://www.courts.wa.gov/court_rules/,not guilty,Lyon Normadell,6708-120,750-95-8080,799-04-0889,883-62-2119,The plaintiff in this case is a person who is known as “the defendant”. The defendant has been using the name on various websites and social media sites for years without any change or notification from the plaintiff. On or about October 1 2018 the defendant started providing no information to the plaintiff regarding their physical address phone numbers or other personal information. The defendant stopped providing communication with the plaintiff on or about November 1 2018
129109,in_court,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Lissi Kollach,7817-106,764-57-0411,571-07-4367,729-30-1909,The plaintiff in this case is aina bint al-Tahlidi. She is an American woman who was born in Saudi Arabia and has been living in the United States since 1998. She claims that she is due process compatible with the defendants in this case as they are both Americans
129859,in_progress,https://www.courts.wa.gov/court_rules/,guilty,Sianna Scoyne,3571-122,619-23-3658,398-03-2606,592-81-7835,The plaintiff in this case is a environmental organization that was founded in 1984. The defendants are the city of Seattle and the local school district. The city and school district argue that the organization is a private individual or group that is not affiliated with either party and that the organization's members are using public funds to gain access to government property
