case_id,stateofcase,court_rules,ruling,judge,dept_num,litigating_attny,max(emp_ssn),client_ssn
101011,resolved,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Egor Lorans,0600-122,569-06-3939,404-04-8585,339-52-4564
101681,resolved,https://www.courts.wa.gov/court_rules/,not guilty,Brinn Marriot,2911-114,149-29-8407,656-51-2165,318-55-9543
103872,in_progress,https://www.courts.wa.gov/court_rules/,not guilty,Alonzo Tungay,0813-110,287-83-1678,454-74-9267,375-77-2491
103912,resolved,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Dyane Swann,7692-120,230-68-6805,613-18-8257,513-26-1918
104194,in_court,https://www.courts.wa.gov/court_rules/,guilty,Domenic Griniov,3571-102,810-34-3730,465-88-0821,495-35-5366
104778,in_court,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Jedediah Duferie,6374-102,172-21-9750,172-21-9750,729-80-6883
105235,resolved,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Didi Borne,8140-120,256-66-2228,333-04-0667,823-76-5326
106411,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Roobbie Gillice,3360-112,516-97-3562,437-03-4413,772-18-0886
106833,in_court,https://www.courts.wa.gov/court_rules/,guilty,Mikey Gadie,2939-108,116-05-2373,843-70-5633,411-15-7096
110603,in_progress,https://www.courts.wa.gov/court_rules/,not guilty,Fara Cleverley,3704-104,166-24-5698,832-36-1730,778-94-0719
111341,resolved,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Dan Adamkiewicz,8140-100,102-51-9499,216-97-1067,725-06-6166
111442,in_court,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Ellen Goldsbrough,1568-108,485-24-0489,832-27-4443,860-72-7808
112516,in_court,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Corrianne Di Boldi,6401-124,825-86-9026,714-30-6382,887-10-3540
113455,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Meara Koppes,6401-100,435-94-4433,460-04-2790,845-36-1518
114444,in_court,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Arabele Diggin,0813-106,132-66-1834,545-84-7542,268-90-1937
116656,resolved,https://www.courts.wa.gov/court_rules/,not guilty,Fannie Whopples,6708-106,428-19-9096,882-25-8581,879-63-3176
117103,resolved,https://www.courts.wa.gov/court_rules/,not guilty,Giselle Cromwell,4773-118,252-85-2441,719-51-6338,671-39-1937
117837,resolved,https://www.courts.wa.gov/court_rules/,not guilty,Alejandro Michieli,2423-108,543-58-4638,254-92-4227,719-21-5226
118859,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Antonino McVie,2021-102,180-17-1107,789-20-8993,374-94-2573
121048,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Bron Baughan,1100-104,827-01-0136,710-23-9657,186-44-5533
121766,in_progress,https://www.courts.wa.gov/court_rules/,guilty,Homerus Bilofsky,6708-106,406-43-9194,444-47-9809,805-61-5864
124284,in_progress,https://www.courts.wa.gov/court_rules/,not guilty,Jeffy Decort,2423-122,258-70-5396,111-12-2834,608-94-7315
126382,in_progress,https://www.courts.wa.gov/court_rules/,not guilty,Lambert Biaggetti,2939-102,864-80-7444,850-17-1916,630-64-7989
126432,in_progress,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Ardine Wolfers,8140-110,788-77-5777,788-77-5777,392-30-0741
126460,resolved,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Audie Reveland,7692-106,351-54-0549,636-88-4987,567-85-7038
127857,resolved,https://www.courts.wa.gov/court_rules/,not guilty,Lyon Normadell,6708-120,750-95-8080,799-04-0889,883-62-2119
129109,in_court,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Lissi Kollach,7817-106,764-57-0411,571-07-4367,729-30-1909
129859,in_progress,https://www.courts.wa.gov/court_rules/,guilty,Sianna Scoyne,3571-122,619-23-3658,398-03-2606,592-81-7835
130121,resolved,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Ax Andrivot,1568-124,168-48-7836,129-67-0193,224-86-7521
133270,in_court,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Elaina Wink,7817-106,649-04-2975,236-99-0161,468-16-8121
134221,in_court,https://kingcounty.gov/courts/clerk/rules.aspx,not guilty,Ethan Abramino,4773-102,367-13-0639,523-20-1170,663-87-1907
136788,resolved,https://www.courts.wa.gov/court_rules/,guilty,Charlean MacAscaidh,4700-104,830-30-9433,548-75-5399,118-54-0686
137243,resolved,https://www.courts.wa.gov/court_rules/,not guilty,Sherlocke Swetman,4805-108,105-49-5346,202-06-2837,370-71-1745
137931,resolved,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Nowell McGenis,1489-100,647-34-5812,622-24-7567,613-65-3866
138702,resolved,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Michel Philippart,8140-122,121-92-1607,143-12-9031,437-42-5035
141469,resolved,https://www.courts.wa.gov/court_rules/,not guilty,Roanna Noel,6401-108,398-47-8954,794-48-5598,490-83-4516
142550,in_court,https://kingcounty.gov/courts/clerk/rules.aspx,guilty,Lauri Kinnar,2939-110,887-66-6020,548-26-4588,443-19-6804
142949,resolved,https://www.courts.wa.gov/court_rules/,guilty,Karoly Muffen,1100-100,887-58-5875,560-44-0058,650-24-0226
