emp_ssn,emp_name,emp_phone,emp_street,emp_city,emp_state,emp_zip,emp_dob,emp_role,dept_num
168-65-6704,Elene Musso,6023472876,57942 Kinsman Junction,Chandler,Arizona,85246,1970/09/09,Legal Secretary,6401-124
323-54-1306,Kelcie Eatttok,2133212481,23 Milwaukee Point,Los Angeles,California,90055,1965/12/28,Paralegal,6708-106
156-60-8028,Kimmi Dungey,2029646166,211 Arrowood Terrace,Washington,District of Columbia,20319,1971/08/25,Paralegal,1947-124
813-78-2937,Bendick Roscow,6267516177,0365 Green Pass,Pasadena,California,91131,1945/04/12,Paralegal,4613-106
512-36-8280,Guillema Kliemchen,7722355403,67 Lotheville Trail,Fort Pierce,Florida,34949,1973/08/26,Associate,6401-112
805-60-4802,Ernestus Southwick,7865099426,57 Lien Drive,Miami,Florida,33153,1980/12/22,Legal Secretary,7692-118
388-98-4676,Rodie Nicely,6786615649,677 Helena Pass,Lawrenceville,Georgia,30045,1986/05/13,Partner,4268-106
109-32-6092,Otto Spadeck,7173106240,5 Melby Junction,Harrisburg,Pennsylvania,17126,1994/07/25,Legal Secretary,8140-110
288-22-0645,Clair Mingard,3171030390,4429 Westport Street,Indianapolis,Indiana,46202,1978/11/22,Associate,4613-118
530-30-0774,Odilia Wicher,4808382492,5 Lindbergh Street,Phoenix,Arizona,85005,2000/10/04,Managing Partner,6708-106
542-51-7064,Jackelyn Sisley,6195148123,88 Walton Road,San Diego,California,92176,1960/06/04,Associate,1100-116
475-73-3363,Kelsey Souster,4781373441,3 Pepper Wood Street,Macon,Georgia,31210,1974/08/19,Legal Secretary,2911-114
578-62-9447,Sibilla Iannelli,5012683428,288 Hayes Way,Little Rock,Arkansas,72209,1941/05/01,Paralegal,2911-122
799-04-0889,Neely Wilkowski,7575858004,0 Merrick Drive,Norfolk,Virginia,23504,1958/05/08,Partner,6708-120
869-93-4051,Omero Quinane,4197009418,33 Clyde Gallagher Circle,Toledo,Ohio,43615,1972/07/30,Managing Partner,8140-104
308-03-1076,Scarface Bellchamber,9032385634,9760 Boyd Pass,Longview,Texas,75605,1957/08/16,Legal Secretary,4773-102
