emp_ssn,dept_num
739-18-5188,0600-104
882-23-2908,0600-110
569-78-6620,0600-112
567-16-4962,0813-106
454-74-9267,0813-110
636-05-0567,0813-114
887-58-5875,1100-100
827-01-0136,1100-104
669-92-0934,1100-116
812-50-4919,1489-100
529-62-8958,1489-110
740-96-7392,1489-124
785-72-8669,1568-100
665-15-4411,1568-108
643-76-2988,1947-112
834-99-3273,1947-124
716-21-1394,2021-102
651-23-1790,2423-108
452-11-7128,2423-116
258-70-5396,2423-122
852-49-1213,2423-124
387-25-1188,2911-114
381-97-9579,2911-118
681-10-3717,2911-122
712-06-2292,2939-100
737-42-2809,2939-104
843-70-5633,2939-108
820-05-8945,2939-110
353-08-8345,3085-100
196-90-9192,3360-106
312-64-9500,3360-112
723-16-6450,3360-118
861-41-8404,3571-102
740-51-3147,3571-114
789-30-7345,3704-104
625-81-9657,3704-122
885-41-5161,4268-106
539-48-2897,4268-124
735-25-5363,4613-106
610-37-6493,4613-118
898-54-5280,4700-104
628-43-8933,4773-102
229-60-9810,4773-104
610-32-3260,4773-118
440-32-1716,4805-104
764-56-6492,4805-108
593-99-3479,5785-104
779-87-7048,5785-110
882-48-0443,5785-114
462-24-2809,5785-122
172-21-9750,6374-102
597-59-4342,6401-100
682-01-9176,6401-104
895-56-7540,6401-106
794-48-5598,6401-108
291-47-1944,6401-110
502-59-2516,6401-112
739-76-3667,6401-114
886-06-2383,6401-124
882-25-8581,6708-106
878-58-7566,6708-116
642-33-3501,6708-120
742-13-0083,7692-106
599-45-5344,7692-118
628-35-8432,7692-120
212-14-3414,7922-124
632-77-3104,8140-100
798-69-9759,8140-102
869-93-4051,8140-104
788-77-5777,8140-110
823-62-6693,8140-114
673-33-3136,8140-120
879-83-9746,8140-122
667-31-9496,8140-124
738-40-3717,9999-100
