emp_ssn,case_id,hrs
102-51-9499,111341,269
102-51-9499,200360,816
102-51-9499,203574,324
102-51-9499,527208,105
102-51-9499,554716,557
102-51-9499,682654,850
102-51-9499,800128,944
102-51-9499,941928,954
104-61-6529,136788,776
104-61-6529,211096,327
104-61-6529,342740,630
104-61-6529,407385,915
104-61-6529,419376,505
104-61-6529,435447,901
104-61-6529,537562,133
104-61-6529,573778,58
104-61-6529,618151,771
104-61-6529,759959,77
104-61-6529,763497,443
104-61-6529,834605,700
104-61-6529,883050,762
104-61-6529,886667,598
104-61-6529,998462,381
105-49-5346,137243,769
105-49-5346,185551,152
105-49-5346,272866,840
105-49-5346,404757,592
105-49-5346,488204,374
105-49-5346,618442,832
105-49-5346,626790,919
105-49-5346,661053,740
105-49-5346,670916,496
105-49-5346,856710,983
105-49-5346,886335,303
105-49-5346,894665,543
105-49-5346,977126,602
108-23-4456,187560,706
108-23-4456,222765,999
108-23-4456,327952,397
108-23-4456,617871,309
108-23-4456,646737,780
108-23-4456,798876,120
108-23-4456,936955,484
109-40-6855,264008,382
109-40-6855,470529,284
109-40-6855,481280,878
109-40-6855,550123,866
109-40-6855,665421,235
109-40-6855,675227,322
109-40-6855,723780,32
109-40-6855,762417,337
111-12-2834,124284,901
111-12-2834,199846,467
111-12-2834,283763,63
111-12-2834,413837,992
111-12-2834,493820,32
111-12-2834,496154,360
111-12-2834,514615,425
111-12-2834,635054,165
111-12-2834,645545,892
111-12-2834,695509,954
111-12-2834,746293,321
111-12-2834,824977,15
111-12-2834,893773,264
111-22-3365,199565,168
111-22-3365,262693,774
111-22-3365,264370,690
111-22-3365,296672,791
111-22-3365,354702,636
111-22-3365,366615,947
111-22-3365,388781,159
111-22-3365,431100,320
111-22-3365,580912,430
111-22-3365,596276,657
111-22-3365,789967,870
111-22-3365,951679,155
112-21-7280,121048,977
112-21-7280,201331,439
112-21-7280,242698,830
112-21-7280,252558,684
112-21-7280,286461,691
112-21-7280,384338,464
112-21-7280,512053,325
112-21-7280,609163,462
112-21-7280,679926,447
112-21-7280,682470,745
112-21-7280,752162,35
112-21-7280,902650,67
112-21-7280,908933,961
112-21-7280,978815,195
116-05-2373,106833,305
116-05-2373,168244,399
116-05-2373,232025,467
116-05-2373,242036,228
116-05-2373,666187,235
116-05-2373,754326,131
116-05-2373,906074,864
116-93-3582,199127,951
116-93-3582,432571,958
116-93-3582,559051,528
116-93-3582,631114,617
116-93-3582,635232,663
116-93-3582,662019,16
116-93-3582,701818,761
116-93-3582,935981,855
120-28-3545,163529,648
120-28-3545,356912,952
120-28-3545,495784,327
120-28-3545,557544,444
120-28-3545,646807,433
120-28-3545,650093,118
120-28-3545,755918,45
120-28-3545,770782,374
120-28-3545,795061,44
121-10-6353,156314,774
121-10-6353,282367,651
121-10-6353,351106,475
121-10-6353,415870,742
121-10-6353,547473,979
121-10-6353,646505,296
121-10-6353,700120,903
121-10-6353,703206,240
121-10-6353,703347,85
121-10-6353,880677,926
121-10-6353,986535,268
121-92-1607,138702,818
121-92-1607,297051,198
121-92-1607,316932,892
121-92-1607,328132,883
121-92-1607,396454,887
121-92-1607,475745,268
121-92-1607,597019,565
121-92-1607,632773,220
121-92-1607,667802,922
121-92-1607,740072,725
121-92-1607,853273,840
121-92-1607,879209,525
121-92-1607,904484,850
121-92-1607,946070,704
122-08-8568,101681,274
122-08-8568,152994,507
122-08-8568,197263,499
122-08-8568,199404,253
122-08-8568,209029,656
122-08-8568,231470,57
122-08-8568,294771,344
122-08-8568,314018,90
122-08-8568,391655,284
122-08-8568,427470,664
122-08-8568,441836,41
122-08-8568,472473,532
122-08-8568,490790,625
122-08-8568,514390,836
122-08-8568,546632,994
122-08-8568,576938,776
122-08-8568,591164,428
122-08-8568,623578,1000
122-08-8568,784115,858
122-08-8568,827744,296
122-08-8568,874296,973
122-08-8568,926673,834
