client_ssn,client_name,client_street,client_city,client_zip,client_state,client_dob,client_phone,firm_id,dept_num
100-49-3490,"Hildy Mendes","981 Mitchell Terrace",Gadsden,35905,Alabama,1928-08-31,2563242158,78-297-6374,102
100-77-4273,"Tildy Renard","64569 Twin Pines Court",Orlando,32854,Florida,1949-04-16,4079530623,24-809-5785,104
101-15-8932,"Stefano MacGahey","130 Cherokee Parkway",Chattanooga,37450,Tennessee,1932-01-05,4232204678,24-809-5785,104
103-42-4140,"Megen Loffhead","8 Arkansas Place","Round Rock",78682,Texas,2003-07-20,5125132020,82-858-3085,100
103-49-7158,"Elliot Kighly","773 Tennyson Circle",Pasadena,91131,California,2019-02-03,6261512326,14-373-4613,106
103-49-7158,"Elliot Kighly","773 Tennyson Circle",Pasadena,91131,California,2019-02-03,6261512326,14-373-4613,118
103-99-8843,"Arlie Jewkes","07 Monica Avenue",Bloomington,47405,Indiana,1971-03-16,8128220269,28-990-1568,124
103-99-8843,"Arlie Jewkes","07 Monica Avenue",Bloomington,47405,Indiana,1971-03-16,8128220269,28-990-1568,108
103-99-8843,"Arlie Jewkes","07 Monica Avenue",Bloomington,47405,Indiana,1971-03-16,8128220269,28-990-1568,100
104-42-5200,"Fletcher Palin","64 Roxbury Pass",Nashville,37220,Tennessee,2021-05-24,6153202064,74-575-2423,108
104-42-5200,"Fletcher Palin","64 Roxbury Pass",Nashville,37220,Tennessee,2021-05-24,6153202064,74-575-2423,116
104-42-5200,"Fletcher Palin","64 Roxbury Pass",Nashville,37220,Tennessee,2021-05-24,6153202064,74-575-2423,122
104-42-5200,"Fletcher Palin","64 Roxbury Pass",Nashville,37220,Tennessee,2021-05-24,6153202064,74-575-2423,124
104-75-6405,"Antonin Linfoot","05058 Messerschmidt Terrace",Annapolis,21405,Maryland,1976-05-20,4108647325,28-990-1568,124
104-75-6405,"Antonin Linfoot","05058 Messerschmidt Terrace",Annapolis,21405,Maryland,1976-05-20,4108647325,28-990-1568,100
104-75-6405,"Antonin Linfoot","05058 Messerschmidt Terrace",Annapolis,21405,Maryland,1976-05-20,4108647325,28-990-1568,108
104-86-3903,"Onfre Currall","83978 Dryden Way",Orlando,32885,Florida,1998-11-23,4073649141,22-285-1947,106
104-86-3903,"Onfre Currall","83978 Dryden Way",Orlando,32885,Florida,1998-11-23,4073649141,22-285-1947,112
104-86-3903,"Onfre Currall","83978 Dryden Way",Orlando,32885,Florida,1998-11-23,4073649141,22-285-1947,124
106-09-1305,"Henri Saer","34 Kedzie Center","Kansas City",64101,Missouri,1987-04-08,8164190529,99-416-9999,100
106-95-9828,"Ethelyn Asbrey","74766 Welch Circle",Denton,76210,Texas,1982-03-22,9723514427,64-866-6708,106
106-95-9828,"Ethelyn Asbrey","74766 Welch Circle",Denton,76210,Texas,1982-03-22,9723514427,64-866-6708,120
