emp_ssn,case_id,hrs
101-32-9126,339173,1901
101-32-9126,474861,1131
101-32-9126,475784,1295
101-32-9126,519691,831
101-32-9126,573239,337
101-32-9126,764575,1083
101-32-9126,769682,1987
101-32-9126,877046,229
101-32-9126,992618,1838
104-84-4546,199565,1661
104-84-4546,262693,1128
104-84-4546,264370,101
104-84-4546,296672,933
104-84-4546,354702,527
104-84-4546,366615,1128
104-84-4546,388781,1601
104-84-4546,431100,15
104-84-4546,580912,214
104-84-4546,596276,1237
104-84-4546,789967,1459
104-84-4546,951679,496
111-72-4464,153588,1762
111-72-4464,199009,343
111-72-4464,218980,1421
111-72-4464,239891,186
111-72-4464,245207,1915
111-72-4464,406184,127
111-72-4464,578727,1053
111-72-4464,597656,1781
111-72-4464,612254,147
111-72-4464,651517,86
111-72-4464,664007,466
111-72-4464,701120,325
111-72-4464,751935,1858
111-72-4464,806467,1430
116-37-9312,182611,1774
116-37-9312,201580,607
116-37-9312,239446,1511
116-37-9312,250704,827
116-37-9312,259070,1033
116-37-9312,344536,917
116-37-9312,402169,477
116-37-9312,549143,999
116-37-9312,771942,596
116-37-9312,838027,471
116-37-9312,984703,1425
121-94-5795,244353,1170
121-94-5795,685512,470
121-94-5795,813172,619
121-94-5795,917473,271
122-15-3037,345741,1344
122-15-3037,414209,953
122-15-3037,456000,1813
122-15-3037,495778,1803
122-15-3037,614375,1781
122-15-3037,780533,1962
124-53-2441,103912,1823
124-53-2441,152816,1754
124-53-2441,269148,1362
124-53-2441,302161,609
124-53-2441,345878,178
124-53-2441,499696,810
124-53-2441,702397,1772
124-53-2441,866292,994
124-53-2441,879594,1397
124-53-2441,886685,1723
124-53-2441,940866,106
133-41-3363,127857,671
133-41-3363,192413,761
133-41-3363,197645,1901
133-41-3363,207985,139
133-41-3363,272833,1959
133-41-3363,329590,780
133-41-3363,362329,408
133-41-3363,369688,1174
133-41-3363,391846,1494
133-41-3363,429195,1476
133-41-3363,754826,1602
133-41-3363,904932,327
133-41-3363,930767,1893
137-16-5627,206142,71
137-16-5627,410355,1436
137-16-5627,544117,23
137-16-5627,648305,225
137-16-5627,652584,1682
137-16-5627,786938,388
137-16-5627,836835,1810
137-16-5627,840535,1928
137-16-5627,969173,1792
140-45-7558,103912,1343
140-45-7558,152816,448
140-45-7558,269148,1631
140-45-7558,302161,1262
140-45-7558,345878,761
140-45-7558,499696,417
140-45-7558,702397,1531
140-45-7558,866292,1415
140-45-7558,879594,1670
140-45-7558,886685,1840
140-45-7558,940866,557
143-24-3998,211852,256
143-24-3998,243026,803
143-24-3998,300401,976
143-24-3998,341005,1822
143-24-3998,379279,738
143-24-3998,387024,28
143-24-3998,398725,300
143-24-3998,419350,924
143-24-3998,449268,1839
143-24-3998,470346,1425
143-24-3998,496205,1479
143-24-3998,599907,224
143-24-3998,612527,1351
143-24-3998,647490,460
143-24-3998,727451,989
143-24-3998,736823,10
143-24-3998,750212,1730
143-24-3998,819806,912
143-24-3998,885696,1364
146-98-1046,129109,453
146-98-1046,133270,1278
146-98-1046,181996,1162
146-98-1046,245498,1055
146-98-1046,248988,1097
146-98-1046,350727,108
146-98-1046,412111,544
146-98-1046,449007,70
146-98-1046,466301,1649
146-98-1046,571396,203
146-98-1046,626767,393
146-98-1046,734898,532
146-98-1046,841794,963
146-98-1046,908255,536
147-84-2169,103872,440
147-84-2169,160477,1875
147-84-2169,179348,151
147-84-2169,213982,1144
147-84-2169,341564,635
147-84-2169,360573,591
147-84-2169,368985,547
147-84-2169,478090,1983
147-84-2169,480781,339
147-84-2169,495016,405
147-84-2169,597557,1849
147-84-2169,604382,880
147-84-2169,662890,1268
147-84-2169,745259,255
147-84-2169,788618,418
147-84-2169,899396,198
147-84-2169,910117,279
147-84-2169,943616,714
147-84-2169,944825,972
147-84-2169,997954,182
151-16-5288,130121,66
151-16-5288,159883,549
151-16-5288,179031,1102
151-16-5288,226373,1614
151-16-5288,233385,1169
151-16-5288,506091,1207
151-16-5288,565048,215
151-16-5288,591422,1746
151-16-5288,771077,790
151-16-5288,849488,1002
151-16-5288,877491,1642
151-16-5288,902881,1902
151-16-5288,937682,576
152-81-8726,103872,1086
152-81-8726,160477,1750
152-81-8726,179348,178
152-81-8726,213982,1602
152-81-8726,341564,5
152-81-8726,360573,1412
152-81-8726,368985,1359
152-81-8726,478090,1806
152-81-8726,480781,1239
152-81-8726,495016,1175
